plot_id,title,area,location,category_type,property_type,room_count,status,price_per_sqft,size,unit,zoning,description,beds,baths,garage,year_built,demand,agent_name,agent_role,agent_contact,is_public,lat,lng,current_price,past_year_gain,price_change,circle_rate,market_rate,rera_number,is_verified,site_status,developer_name,flood_risk,price_2020,price_2021,price_2022,price_2023,price_2024,price_2025
HYD-001,Prestige Lakeview Villa,Gachibowli,Hyderabad,residential,Villa,4,Available,8800,2800,sq.ft,Residential,"4BHK luxury villa with private pool and landscaped garden in gated community. Close to DLF Cyber City.",4,4,2,2020,High,Priya Sharma,Senior Agent,+91 98765 43210,true,17.4401,78.3489,24640000,3200000,+₹32L in last year,6800,8800,TS/RERA/05/2020/001,true,developed,Prestige Group,low,14500000,16800000,18900000,20800000,21440000,24640000
HYD-002,Cyber Towers Office Suite,HITEC City,Hyderabad,commercial,Office,0,Available,11500,4200,sq.ft,Commercial,"Grade A office in HITEC City IT corridor. 24/7 security dedicated power backup and high-speed fibre.",0,4,6,2019,High,Rohit Verma,Commercial Specialist,+91 99887 66554,true,17.4486,78.3782,48300000,6300000,+₹6.3Cr in last year,8800,11500,TS/RERA/05/2019/045,true,developed,DLF Cyber City,low,28000000,32000000,36500000,40000000,42000000,48300000
HYD-003,Skyline Penthouse,Banjara Hills,Hyderabad,residential,Penthouse,4,Available,18500,3400,sq.ft,Residential,"Ultra-luxury 4BHK penthouse with panoramic city views private terrace and Italian marble flooring throughout.",4,5,3,2021,High,Karan Malhotra,Luxury Specialist,+91 98001 23456,true,17.4156,78.4489,62900000,8200000,+₹82L in last year,14000,18500,TS/RERA/05/2021/078,true,developed,Phoenix Group,low,38000000,43000000,49000000,54000000,54700000,62900000
HYD-004,Green Valley Apartments,Kondapur,Hyderabad,residential,Apartment,3,Available,7200,1750,sq.ft,Residential,"Premium 3BHK with modular kitchen and covered parking. Walking distance to schools and hospitals.",3,3,1,2022,High,Ananya Reddy,Property Advisor,+91 91234 56780,true,17.4575,78.3685,12600000,1600000,+₹16L in last year,5500,7200,TS/RERA/05/2022/112,true,developed,My Home Group,low,7500000,8400000,9600000,10500000,11000000,12600000
HYD-005,Sunrise Smart Homes,Madhapur,Hyderabad,residential,Apartment,3,Available,7800,1900,sq.ft,Residential,"Smart 3BHK with home automation rooftop infinity pool and designer interiors in prime Madhapur location.",3,3,1,2023,High,Meera Joshi,Senior Agent,+91 87654 32109,true,17.4484,78.3908,14820000,1930000,+₹19.3L in last year,5900,7800,TS/RERA/05/2023/034,true,under_construction,Aparna Constructions,low,0,0,9200000,11000000,12890000,14820000
HYD-006,Millennium Tower Office,Financial District,Hyderabad,commercial,Office,0,Available,13500,5500,sq.ft,Commercial,"Grade A+ office in Financial District with floor-to-ceiling glass 360-degree city views and LEED certified.",0,5,8,2023,High,Anil Kumar,Commercial Head,+91 98765 11122,true,17.4215,78.3749,74250000,9680000,+₹9.68Cr in last year,10500,13500,TS/RERA/05/2023/012,true,under_construction,Salarpuria Sattva,low,0,0,0,48000000,64570000,74250000
HYD-007,Heritage Haveli Villa,Jubilee Hills,Hyderabad,residential,Villa,5,Available,16000,4000,sq.ft,Residential,"Magnificent 5BHK independent villa on Road No 45 with teak wood interiors private courtyard and temple.",5,5,3,1995,High,Suresh Babu,Commercial Head,+91 99001 22334,true,17.4325,78.4072,64000000,8320000,+₹83.2L in last year,12000,16000,,true,developed,Lanco Hills,low,40000000,44000000,50000000,54000000,55680000,64000000
HYD-008,Metro Edge 2BHK,Kukatpally,Hyderabad,residential,Apartment,2,Available,5200,1250,sq.ft,Residential,"Well-ventilated 2BHK near KPHB Metro station. Ideal for young professionals with children's play area.",2,2,1,2020,Medium,Lakshmi Devi,Property Advisor,+91 90001 45678,true,17.4849,78.3867,6500000,750000,+₹7.5L in last year,3900,5200,,true,developed,Manjeera Group,low,4000000,4400000,4900000,5400000,5750000,6500000
HYD-009,Serene Valley Duplex,Nallagandla,Hyderabad,residential,Duplex,4,Available,6000,2900,sq.ft,Residential,"Luxurious 4BHK duplex with private terrace home theatre and landscaped lawn in a gated township.",4,4,2,2022,Medium,Divya Rao,Senior Agent,+91 91234 87654,true,17.4622,78.3312,17400000,2260000,+₹22.6L in last year,4500,6000,TS/RERA/05/2022/089,true,developed,Rajapushpa Properties,low,0,0,11000000,13500000,15140000,17400000
HYD-010,Pearl Residency 2BHK,Miyapur,Hyderabad,residential,Apartment,2,Available,4500,1150,sq.ft,Residential,"Budget-friendly 2BHK with metro connectivity. Vastu-compliant design with east-facing balcony.",2,2,1,2021,Medium,Sneha Kumari,Property Advisor,+91 70001 23456,true,17.4965,78.3538,5175000,600000,+₹6L in last year,3300,4500,,false,developed,SLN Developers,medium,3200000,3600000,4000000,4400000,4575000,5175000
